suburb,postcode,state,state_code
Toongabbie (NSW),2146,New South Wales,NSW
Seven Hills (NSW),2147,New South Wales,NSW
Blacktown,2148,New South Wales,NSW
Harris Park,2150,New South Wales,NSW
North Parramatta,2151,New South Wales,NSW
Northmead,2152,New South Wales,NSW
Baulkham Hills,2153,New South Wales,NSW
Castle Hill (NSW),2154,New South Wales,NSW
North Kellyville,2155,New South Wales,NSW
Kenthurst,2156,New South Wales,NSW
Glenorie,2157,New South Wales,NSW
Dural (Hornsby - NSW),2158,New South Wales,NSW
Arcadia (NSW),2159,New South Wales,NSW
Merrylands,2160,New South Wales,NSW
Yennora,2161,New South Wales,NSW
Chester Hill,2162,New South Wales,NSW
Villawood,2163,New South Wales,NSW
Smithfield (NSW),2164,New South Wales,NSW
Fairfield East,2165,New South Wales,NSW
Canley Heights,2166,New South Wales,NSW
Glenfield (NSW),2167,New South Wales,NSW
Green Valley (NSW),2168,New South Wales,NSW
Casula,2170,New South Wales,NSW
West Hoxton,2171,New South Wales,NSW
Pleasure Point,2172,New South Wales,NSW
Wattle Grove (NSW),2173,New South Wales,NSW
Edmondson Park,2174,New South Wales,NSW
Horsley Park,2175,New South Wales,NSW
Edensor Park,2176,New South Wales,NSW
Bonnyrigg,2177,New South Wales,NSW
Mount Vernon,2178,New South Wales,NSW
Austral,2179,New South Wales,NSW
Greenacre,2190,New South Wales,NSW
Belfield,2191,New South Wales,NSW
Belmore,2192,New South Wales,NSW
Hurlstone Park,2193,New South Wales,NSW
Campsie,2194,New South Wales,NSW
Wiley Park,2195,New South Wales,NSW
Punchbowl (Canterbury-Bankstown - NSW),2196,New South Wales,NSW
Bass Hill,2197,New South Wales,NSW
Georges Hall,2198,New South Wales,NSW
Yagoona,2199,New South Wales,NSW
Bankstown,2200,New South Wales,NSW
Dulwich Hill,2203,New South Wales,NSW
Marrickville,2204,New South Wales,NSW
Arncliffe,2205,New South Wales,NSW
Earlwood,2206,New South Wales,NSW
Bexley North,2207,New South Wales,NSW
Kingsgrove,2208,New South Wales,NSW
Narwee,2209,New South Wales,NSW
Peakhurst Heights,2210,New South Wales,NSW
Padstow,2211,New South Wales,NSW
Revesby,2212,New South Wales,NSW
Picnic Point,2213,New South Wales,NSW
Milperra,2214,New South Wales,NSW
Rockdale,2216,New South Wales,NSW
Kogarah Bay,2217,New South Wales,NSW
