suburb,postcode,state,state_code
Braybrook,3019,Victoria,VIC
Sunshine West,3020,Victoria,VIC
St Albans (Vic.),3021,Victoria,VIC
Ardeer,3022,Victoria,VIC
Deer Park,3023,Victoria,VIC
Manor Lakes,3024,Victoria,VIC
Altona North,3025,Victoria,VIC
Derrimut,3026,Victoria,VIC
Williams Landing,3027,Victoria,VIC
Laverton (Vic.),3028,Victoria,VIC
Hoppers Crossing,3029,Victoria,VIC
Point Cook,3030,Victoria,VIC
Flemington,3031,Victoria,VIC
Maribyrnong,3032,Victoria,VIC
Keilor East,3033,Victoria,VIC
Avondale Heights,3034,Victoria,VIC
Keilor North,3036,Victoria,VIC
Taylors Hill,3037,Victoria,VIC
Taylors Lakes,3038,Victoria,VIC
Moonee Ponds,3039,Victoria,VIC
Essendon,3040,Victoria,VIC
Essendon North,3041,Victoria,VIC
Keilor Park,3042,Victoria,VIC
Gowanbrae,3043,Victoria,VIC
Pascoe Vale,3044,Victoria,VIC
Melbourne Airport,3045,Victoria,VIC
Glenroy (Vic.),3046,Victoria,VIC
Broadmeadows (Vic.),3047,Victoria,VIC
Meadow Heights,3048,Victoria,VIC
Westmeadows,3049,Victoria,VIC
North Melbourne,3051,Victoria,VIC
Parkville (Vic.),3052,Victoria,VIC
Carlton (Vic.),3053,Victoria,VIC
Carlton North,3054,Victoria,VIC
Brunswick West,3055,Victoria,VIC
Brunswick (Vic.),3056,Victoria,VIC
Brunswick East,3057,Victoria,VIC
Coburg,3058,Victoria,VIC
Greenvale (Vic.),3059,Victoria,VIC
Fawkner,3060,Victoria,VIC
Campbellfield,3061,Victoria,VIC
Somerton (Vic.),3062,Victoria,VIC
Oaklands Junction,3063,Victoria,VIC
Mickleham,3064,Victoria,VIC
Fitzroy (Vic.),3065,Victoria,VIC
Collingwood (Vic.),3066,Victoria,VIC
Abbotsford (Vic.),3067,Victoria,VIC
Fitzroy North,3068,Victoria,VIC
Northcote,3070,Victoria,VIC
Thornbury,3071,Victoria,VIC
Preston (Vic.),3072,Victoria,VIC
Reservoir (Vic.),3073,Victoria,VIC
Thomastown,3074,Victoria,VIC
Lalor,3075,Victoria,VIC
Epping (Vic.),3076,Victoria,VIC
Fairfield (Vic.),3078,Victoria,VIC
Ivanhoe (Vic.),3079,Victoria,VIC
Heidelberg Heights,3081,Victoria,VIC
Mill Park,3082,Victoria,VIC
Kingsbury,3083,Victoria,VIC
Eaglemont,3084,Victoria,VIC
Yallambie,3085,Victoria,VIC
Watsonia North,3087,Victoria,VIC
Greensborough,3088,Victoria,VIC
Diamond Creek,3089,Victoria,VIC
Plenty (Vic.),3090,Victoria,VIC
Yarrambat,3091,Victoria,VIC
Lower Plenty,3093,Victoria,VIC
Montmorency,3094,Victoria,VIC
Research,3095,Victoria,VIC
Wattle Glen,3096,Victoria,VIC
Kangaroo Ground,3097,Victoria,VIC
Hurstbridge,3099,Victoria,VIC
Kew (Vic.),3101,Victoria,VIC
Kew East,3102,Victoria,VIC
Deepdene (Vic.),3103,Victoria,VIC
Balwyn North,3104,Victoria,VIC
Bulleen,3105,Victoria,VIC
Templestowe,3106,Victoria,VIC
Templestowe Lower,3107,Victoria,VIC
Doncaster,3108,Victoria,VIC
Doncaster East,3109,Victoria,VIC
Donvale,3111,Victoria,VIC
Warrandyte,3113,Victoria,VIC
Park Orchards,3114,Victoria,VIC
Wonga Park,3115,Victoria,VIC
Chirnside Park,3116,Victoria,VIC
Richmond (Vic.),3121,Victoria,VIC
Hawthorn (Vic.),3122,Victoria,VIC
Hawthorn East,3123,Victoria,VIC
Camberwell (Vic.),3124,Victoria,VIC
Burwood (Vic.),3125,Victoria,VIC
Canterbury (Vic.),3126,Victoria,VIC
Surrey Hills,3127,Victoria,VIC
Box Hill (Vic.),3128,Victoria,VIC
Mont Albert North,3129,Victoria,VIC
Blackburn South,3130,Victoria,VIC
Nunawading,3131,Victoria,VIC
Mitcham (Vic.),3132,Victoria,VIC
Vermont,3133,Victoria,VIC
Ringwood (Vic.),3134,Victoria,VIC
Heathmont,3135,Victoria,VIC
Croydon South,3136,Victoria,VIC
Kilsyth,3137,Victoria,VIC
Mooroolbark,3138,Victoria,VIC
Launching Place,3139,Victoria,VIC
Lilydale (Vic.),3140,Victoria,VIC
South Yarra,3141,Victoria,VIC
Toorak,3142,Victoria,VIC
Armadale (Vic.),3143,Victoria,VIC
Malvern (Vic.),3144,Victoria,VIC
Caulfield East,3145,Victoria,VIC
Glen Iris (Vic.),3146,Victoria,VIC
Ashwood,3147,Victoria,VIC
Chadstone,3148,Victoria,VIC
Mount Waverley,3149,Victoria,VIC
Glen Waverley,3150,Victoria,VIC
Burwood East,3151,Victoria,VIC
Wantirna South,3152,Victoria,VIC
Bayswater North,3153,Victoria,VIC
The Basin (Vic.),3154,Victoria,VIC
Boronia,3155,Victoria,VIC
Ferntree Gully,3156,Victoria,VIC
Upwey,3158,Victoria,VIC
Menzies Creek,3159,Victoria,VIC
Belgrave,3160,Victoria,VIC
Caulfield North,3161,Victoria,VIC
Caulfield South,3162,Victoria,VIC
Glen Huntly,3163,Victoria,VIC
Bentleigh East,3165,Victoria,VIC
Oakleigh,3166,Victoria,VIC
Oakleigh South,3167,Victoria,VIC
Clayton,3168,Victoria,VIC
Clayton South,3169,Victoria,VIC
Mulgrave (Vic.),3170,Victoria,VIC
Springvale (Vic.),3171,Victoria,VIC
Dingley Village,3172,Victoria,VIC
Keysborough,3173,Victoria,VIC
Noble Park,3174,Victoria,VIC
Dandenong North,3175,Victoria,VIC
Doveton,3177,Victoria,VIC
Rowville,3178,Victoria,VIC
Scoresby,3179,Victoria,VIC
Knoxfield,3180,Victoria,VIC
Prahran,3181,Victoria,VIC
St Kilda (Vic.),3182,Victoria,VIC
St Kilda East,3183,Victoria,VIC
Elwood,3184,Victoria,VIC
Elsternwick,3185,Victoria,VIC
Brighton (Vic.),3186,Victoria,VIC
Brighton East,3187,Victoria,VIC
Hampton (Vic.),3188,Victoria,VIC
Moorabbin,3189,Victoria,VIC
Highett,3190,Victoria,VIC
Sandringham (Vic.),3191,Victoria,VIC
Cheltenham (Vic.),3192,Victoria,VIC
Black Rock (Vic.),3193,Victoria,VIC
Mentone,3194,Victoria,VIC
Aspendale,3195,Victoria,VIC
Chelsea,3196,Victoria,VIC
Patterson Lakes,3197,Victoria,VIC
Seaford (Vic.),3198,Victoria,VIC
Frankston,3199,Victoria,VIC
Frankston North,3200,Victoria,VIC
Carrum Downs,3201,Victoria,VIC
Heatherton,3202,Victoria,VIC
Bentleigh,3204,Victoria,VIC
South Melbourne,3205,Victoria,VIC
Albert Park (Vic.),3206,Victoria,VIC
Port Melbourne,3207,Victoria,VIC
Little River (Vic.),3211,Victoria,VIC
Lara,3212,Victoria,VIC
Batesford,3213,Victoria,VIC
Norlane,3214,Victoria,VIC
North Geelong,3215,Victoria,VIC
Belmont (Vic.),3216,Victoria,VIC
Armstrong Creek (Vic.),3217,Victoria,VIC
Herne Hill (Vic.),3218,Victoria,VIC
East Geelong,3219,Victoria,VIC
Geelong,3220,Victoria,VIC
Barrabool,3221,Victoria,VIC
Clifton Springs,3222,Victoria,VIC
Portarlington,3223,Victoria,VIC
Leopold,3224,Victoria,VIC
Point Lonsdale,3225,Victoria,VIC
Ocean Grove,3226,Victoria,VIC
Barwon Heads,3227,Victoria,VIC
Torquay (Vic.),3228,Victoria,VIC
Anglesea,3230,Victoria,VIC
Big Hill (Surf Coast - Vic.),3231,Victoria,VIC
Lorne (Vic.),3232,Victoria,VIC
Apollo Bay (Vic.),3233,Victoria,VIC
Kennett River,3234,Victoria,VIC
Deans Marsh,3235,Victoria,VIC
Forrest (Vic.),3236,Victoria,VIC
Gellibrand Lower,3237,Victoria,VIC
Glenaire,3238,Victoria,VIC
Carlisle River,3239,Victoria,VIC
Gherang,3240,Victoria,VIC
Ombersley,3241,Victoria,VIC
Birregurra,3242,Victoria,VIC
Barwon Downs,3243,Victoria,VIC
Irrewillipe,3249,Victoria,VIC
Colac,3250,Victoria,VIC
Weering,3251,Victoria,VIC
Cororooke,3254,Victoria,VIC
Pomborneit North,3260,Victoria,VIC
Terang,3264,Victoria,VIC
Kolora,3265,Victoria,VIC
Cobden,3266,Victoria,VIC
Scotts Creek (Vic.),3267,Victoria,VIC
Nullawarre,3268,Victoria,VIC
Port Campbell,3269,Victoria,VIC
Peterborough (Vic.),3270,Victoria,VIC
Pura Pura,3271,Victoria,VIC
Woorndoo,3272,Victoria,VIC
Hexham (Vic.),3273,Victoria,VIC
Caramut,3274,Victoria,VIC
Mailors Flat,3275,Victoria,VIC
Woolsthorpe,3276,Victoria,VIC
Mepunga,3277,Victoria,VIC
Purnim,3278,Victoria,VIC
Wangoom,3279,Victoria,VIC
Warrnambool,3280,Victoria,VIC
Woodford (Vic.),3281,Victoria,VIC
Koroit,3282,Victoria,VIC
Yarpturk,3283,Victoria,VIC
Port Fairy,3284,Victoria,VIC
Tyrendarra,3285,Victoria,VIC
Macarthur (Vic.),3286,Victoria,VIC
Hawkesdale,3287,Victoria,VIC
Penshurst (Vic.),3289,Victoria,VIC
Nelson (Vic.),3292,Victoria,VIC
Glenthompson,3293,Victoria,VIC
Dunkeld (Vic.),3294,Victoria,VIC
Hamilton (Vic.),3300,Victoria,VIC
Tahara,3301,Victoria,VIC
Grassdale (Vic.),3302,Victoria,VIC
Condah,3303,Victoria,VIC
Homerton,3304,Victoria,VIC
Portland (Vic.),3305,Victoria,VIC
Digby,3309,Victoria,VIC
Tahara West,3310,Victoria,VIC
Corndale (Vic.),3311,Victoria,VIC
Dergholm,3312,Victoria,VIC
Cavendish,3314,Victoria,VIC
Clover Flat,3315,Victoria,VIC
Harrow,3317,Victoria,VIC
Edenhope,3318,Victoria,VIC
Apsley (Vic.),3319,Victoria,VIC
Inverleigh,3321,Victoria,VIC
Cressy (Vic.),3322,Victoria,VIC
Foxhow,3323,Victoria,VIC
Lismore (Vic.),3324,Victoria,VIC
Derrinallum,3325,Victoria,VIC
Teesdale (Vic.),3328,Victoria,VIC
Shelford,3329,Victoria,VIC
Rokewood,3330,Victoria,VIC
Bannockburn (Vic.),3331,Victoria,VIC
Lethbridge,3332,Victoria,VIC
Meredith,3333,Victoria,VIC
Bungal,3334,Victoria,VIC
Rockbank,3335,Victoria,VIC
Deanside,3336,Victoria,VIC
Melton (Vic.),3337,Victoria,VIC
Weir Views,3338,Victoria,VIC
Bacchus Marsh,3340,Victoria,VIC
Greendale (Vic.),3341,Victoria,VIC
Ballan,3342,Victoria,VIC
Gordon (Vic.),3345,Victoria,VIC
Lucas,3350,Victoria,VIC
Snake Valley,3351,Victoria,VIC
Enfield (Vic.),3352,Victoria,VIC
Wendouree,3355,Victoria,VIC
Sebastopol (Vic.),3356,Victoria,VIC
Buninyong,3357,Victoria,VIC
Winter Valley,3358,Victoria,VIC
Linton,3360,Victoria,VIC
Skipton,3361,Victoria,VIC
Creswick,3363,Victoria,VIC
Rocklyn,3364,Victoria,VIC
Clunes (Vic.),3370,Victoria,VIC
Talbot (Vic.),3371,Victoria,VIC
Beaufort (Vic.),3373,Victoria,VIC
Great Western,3374,Victoria,VIC
Ballyrogan,3375,Victoria,VIC
Ararat,3377,Victoria,VIC
Tatyoon,3378,Victoria,VIC
Chatsworth (Vic.),3379,Victoria,VIC
Stawell,3380,Victoria,VIC
Pomonal,3381,Victoria,VIC
Frenchmans,3384,Victoria,VIC
Dadswells Bridge,3385,Victoria,VIC
Germania,3387,Victoria,VIC
Rupanyup,3388,Victoria,VIC
Murtoa,3390,Victoria,VIC
Brim,3391,Victoria,VIC
Minyip,3392,Victoria,VIC
Wilkur,3393,Victoria,VIC
Reedy Dam,3395,Victoria,VIC
Hopetoun (Vic.),3396,Victoria,VIC
Horsham,3400,Victoria,VIC
Wail,3401,Victoria,VIC
Gatum,3407,Victoria,VIC
Mitre,3409,Victoria,VIC
Goroke,3412,Victoria,VIC
Peronne,3413,Victoria,VIC
Dimboola,3414,Victoria,VIC
Miram,3415,Victoria,VIC
Nhill,3418,Victoria,VIC
Kaniva,3419,Victoria,VIC
Serviceton,3420,Victoria,VIC
Jeparit,3423,Victoria,VIC
Rainbow,3424,Victoria,VIC
Diggers Rest,3427,Victoria,VIC
Bulla (Vic.),3428,Victoria,VIC
Sunbury,3429,Victoria,VIC
Clarkefield,3430,Victoria,VIC
Riddells Creek,3431,Victoria,VIC
Bolinda,3432,Victoria,VIC
Monegeetta,3433,Victoria,VIC
Romsey,3434,Victoria,VIC
Lancefield,3435,Victoria,VIC
Gisborne,3437,Victoria,VIC
New Gisborne,3438,Victoria,VIC
Macedon,3440,Victoria,VIC
Mount Macedon,3441,Victoria,VIC
Newham,3442,Victoria,VIC
Kyneton,3444,Victoria,VIC
Drummond North,3446,Victoria,VIC
Taradale (Vic.),3447,Victoria,VIC
Metcalfe,3448,Victoria,VIC
Castlemaine,3450,Victoria,VIC
Guildford (Vic.),3451,Victoria,VIC
Harcourt North,3453,Victoria,VIC
North Blackwood,3458,Victoria,VIC
Daylesford,3460,Victoria,VIC
Glenlyon (Vic.),3461,Victoria,VIC
Newstead (Vic.),3462,Victoria,VIC
Laanecoorie,3463,Victoria,VIC
Carisbrook,3464,Victoria,VIC
Bung Bong,3465,Victoria,VIC
Avoca (Vic.),3467,Victoria,VIC
Amphitheatre,3468,Victoria,VIC
Elmhurst,3469,Victoria,VIC
Bromley,3472,Victoria,VIC
Archdale,3475,Victoria,VIC
Coonooer Bridge,3477,Victoria,VIC
Dooboobetic,3478,Victoria,VIC
Laen East,3480,Victoria,VIC
Warmur,3482,Victoria,VIC
Birchip,3483,Victoria,VIC
Woomelang,3485,Victoria,VIC
Lascelles,3487,Victoria,VIC
Turriff East,3488,Victoria,VIC
Tempy,3489,Victoria,VIC
Murray-sunset,3490,Victoria,VIC
Patchewollock,3491,Victoria,VIC
Nangiloc,3494,Victoria,VIC
Red Cliffs,3496,Victoria,VIC
Irymple (Vic.),3498,Victoria,VIC
Mildura,3500,Victoria,VIC
Hattah,3501,Victoria,VIC
Wargan,3505,Victoria,VIC
Cowangie,3506,Victoria,VIC
Walpeup,3507,Victoria,VIC
Underbool,3509,Victoria,VIC
Murrayville,3512,Victoria,VIC
Marong,3515,Victoria,VIC
Bridgewater North,3516,Victoria,VIC
Inglewood (Vic.),3517,Victoria,VIC
Wedderburn (Vic.),3518,Victoria,VIC
Korong Vale,3520,Victoria,VIC
Pyalong,3521,Victoria,VIC
Tooborac,3522,Victoria,VIC
Heathcote (Vic.),3523,Victoria,VIC
Wychitella North,3525,Victoria,VIC
Wycheproof,3527,Victoria,VIC
Nullawil,3529,Victoria,VIC
Warne,3530,Victoria,VIC
Berriwillock,3531,Victoria,VIC
Sea Lake,3533,Victoria,VIC
Boort,3537,Victoria,VIC
Quambatook,3540,Victoria,VIC
Lalbert,3542,Victoria,VIC
Ultima,3544,Victoria,VIC
Turoar,3546,Victoria,VIC
Robinvale,3549,Victoria,VIC
Quarry Hill,3550,Victoria,VIC
Epsom (Vic.),3551,Victoria,VIC
Kangaroo Flat (Vic.),3555,Victoria,VIC
Whipstick,3556,Victoria,VIC
Fosterville,3557,Victoria,VIC
Elmore,3558,Victoria,VIC
Burramboot,3559,Victoria,VIC
Rochester (Vic.),3561,Victoria,VIC
Torrumbarry,3562,Victoria,VIC
Lockington,3563,Victoria,VIC
Echuca,3564,Victoria,VIC
Kotta,3565,Victoria,VIC
Gunbower,3566,Victoria,VIC
Leitchville,3567,Victoria,VIC
Burkes Bridge,3568,Victoria,VIC
Neilborough,3570,Victoria,VIC
Kamarooka North,3571,Victoria,VIC
Milloo,3572,Victoria,VIC
Calivil,3573,Victoria,VIC
Gladfield (Vic.),3575,Victoria,VIC
Durham Ox,3576,Victoria,VIC
Kerang,3579,Victoria,VIC
Koondrook,3580,Victoria,VIC
Lake Charm,3581,Victoria,VIC
Tresco,3583,Victoria,VIC
Lake Boga,3584,Victoria,VIC
Meatian,3585,Victoria,VIC
Tyntynder South,3586,Victoria,VIC
Woorinen South,3588,Victoria,VIC
Woorinen,3589,Victoria,VIC
Beverford,3590,Victoria,VIC
Vinifera,3591,Victoria,VIC
Nyah,3594,Victoria,VIC
Nyah West,3595,Victoria,VIC
Wood Wood,3596,Victoria,VIC
Kenley,3597,Victoria,VIC
Boundary Bend,3599,Victoria,VIC
Tabilk,3607,Victoria,VIC
Mitchellstown,3608,Victoria,VIC
Murchison (Vic.),3610,Victoria,VIC
Whroo,3612,Victoria,VIC
Toolamba,3614,Victoria,VIC
Tatura,3616,Victoria,VIC
Byrneside,3617,Victoria,VIC
Merrigum,3618,Victoria,VIC
Kyabram,3620,Victoria,VIC
Tongala,3621,Victoria,VIC
Strathallan,3622,Victoria,VIC
Carag Carag,3623,Victoria,VIC
Girgarre,3624,Victoria,VIC
Mooroopna,3629,Victoria,VIC
Shepparton,3630,Victoria,VIC
Kialla,3631,Victoria,VIC
Congupna,3633,Victoria,VIC
Katandra West,3634,Victoria,VIC
Wunghnu,3635,Victoria,VIC
Numurkah,3636,Victoria,VIC
Waaia,3637,Victoria,VIC
Nathalia,3638,Victoria,VIC
Barmah,3639,Victoria,VIC
Katunga,3640,Victoria,VIC
Bearii,3641,Victoria,VIC
Cobram,3644,Victoria,VIC
Dookie,3646,Victoria,VIC
Dookie College,3647,Victoria,VIC
Katamatite,3649,Victoria,VIC
Broadford,3658,Victoria,VIC
Tallarook,3659,Victoria,VIC
Seymour (Vic.),3660,Victoria,VIC
Puckapunyal,3662,Victoria,VIC
Mangalore (Vic.),3663,Victoria,VIC
Avenel,3664,Victoria,VIC
Longwood (Vic.),3665,Victoria,VIC
Tarcombe,3666,Victoria,VIC
Violet Town,3669,Victoria,VIC
Baddaginnie,3670,Victoria,VIC
Benalla,3672,Victoria,VIC
Winton North,3673,Victoria,VIC
Greta South,3675,Victoria,VIC
Wangaratta (Vic.),3677,Victoria,VIC
Peechelba,3678,Victoria,VIC
Lilliput,3682,Victoria,VIC
Chiltern,3683,Victoria,VIC
Boorhaman North,3685,Victoria,VIC
Wahgunyah,3687,Victoria,VIC
Indigo Valley,3688,Victoria,VIC
Wodonga,3690,Victoria,VIC
Lake Hume Village,3691,New South Wales,NSW
Sandy Creek (Vic.),3695,Victoria,VIC
Tawonga,3697,Victoria,VIC
Tawonga South,3698,Victoria,VIC
Nelse,3699,Victoria,VIC
Tallangatta,3700,Victoria,VIC
Dartmouth,3701,Victoria,VIC
Koetong,3704,Victoria,VIC
Cudgewa,3705,Victoria,VIC
Bringenbrong,3707,New South Wales,NSW
Tintaldra,3708,Victoria,VIC
Guys Forest,3709,Victoria,VIC
Buxton (Vic.),3711,Victoria,VIC
Rubicon,3712,Victoria,VIC
Lake Eildon,3713,Victoria,VIC
Alexandra (Vic.),3714,Victoria,VIC
Ancona,3715,Victoria,VIC
Yea,3717,Victoria,VIC
Molesworth (Vic.),3718,Victoria,VIC
Terip Terip,3719,Victoria,VIC
Bonnie Doon (Vic.),3720,Victoria,VIC
Mansfield (Vic.),3722,Victoria,VIC
Mount Buller,3723,Victoria,VIC
Goorambat,3725,Victoria,VIC
Devenish,3726,Victoria,VIC
St James (Vic.),3727,Victoria,VIC
Youarang,3728,Victoria,VIC
Burramine,3730,Victoria,VIC
Moyhu,3732,Victoria,VIC
Whitfield (Vic.),3733,Victoria,VIC
Whorouly,3735,Victoria,VIC
Myrtleford,3737,Victoria,VIC
Ovens,3738,Victoria,VIC
Eurobin,3739,Victoria,VIC
Buckland (Vic.),3740,Victoria,VIC
Bright (Vic.),3741,Victoria,VIC
Wandiligong,3744,Victoria,VIC
Eldorado,3746,Victoria,VIC
Beechworth,3747,Victoria,VIC
Yackandandah,3749,Victoria,VIC
Wollert,3750,Victoria,VIC
Woodstock (Vic.),3751,Victoria,VIC
South Morang,3752,Victoria,VIC
Beveridge,3753,Victoria,VIC
Mernda,3754,Victoria,VIC
Yan Yean,3755,Victoria,VIC
Wallan,3756,Victoria,VIC
Whittlesea,3757,Victoria,VIC
Heathcote Junction,3758,Victoria,VIC
Panton Hill,3759,Victoria,VIC
Smiths Gully,3760,Victoria,VIC
St Andrews (Vic.),3761,Victoria,VIC
Bylands,3762,Victoria,VIC
Kinglake,3763,Victoria,VIC
Kilmore,3764,Victoria,VIC
Montrose (Vic.),3765,Victoria,VIC
Kalorama,3766,Victoria,VIC
Mount Dandenong,3767,Victoria,VIC
Gruyere,3770,Victoria,VIC
Steels Creek,3775,Victoria,VIC
Healesville,3777,Victoria,VIC
Narbethong,3778,Victoria,VIC
Marysville,3779,Victoria,VIC
Cockatoo (Vic.),3781,Victoria,VIC
Emerald (Vic.),3782,Victoria,VIC
Gembrook,3783,Victoria,VIC
Tremont,3785,Victoria,VIC
Ferny Creek,3786,Victoria,VIC
Sassafras (Vic.),3787,Victoria,VIC
Olinda (Vic.),3788,Victoria,VIC
Sherbrooke,3789,Victoria,VIC
Kallista,3791,Victoria,VIC
The Patch,3792,Victoria,VIC
Monbulk,3793,Victoria,VIC
Silvan,3795,Victoria,VIC
Mount Evelyn,3796,Victoria,VIC
Three Bridges,3797,Victoria,VIC
Millgrove,3799,Victoria,VIC
Endeavour Hills,3802,Victoria,VIC
Hallam,3803,Victoria,VIC
Narre Warren East,3804,Victoria,VIC
Narre Warren South,3805,Victoria,VIC
Berwick,3806,Victoria,VIC
Beaconsfield (Vic.),3807,Victoria,VIC
Beaconsfield Upper,3808,Victoria,VIC
Officer,3809,Victoria,VIC
Pakenham,3810,Victoria,VIC
Nar Nar Goon North,3812,Victoria,VIC
Tynong,3813,Victoria,VIC
Garfield,3814,Victoria,VIC
Bunyip,3815,Victoria,VIC
Longwarry,3816,Victoria,VIC
Drouin,3818,Victoria,VIC
Warragul,3820,Victoria,VIC
Crossover,3821,Victoria,VIC
Darnum,3822,Victoria,VIC
Yarragon,3823,Victoria,VIC
Narracan,3824,Victoria,VIC
Tanjil South,3825,Victoria,VIC
Neerim South,3831,Victoria,VIC
Neerim North,3832,Victoria,VIC
Ada,3833,Victoria,VIC
Thorpdale,3835,Victoria,VIC
Morwell,3840,Victoria,VIC
Churchill (Vic.),3842,Victoria,VIC
Traralgon South,3844,Victoria,VIC
Rosedale (Vic.),3847,Victoria,VIC
Sale,3850,Victoria,VIC
Cobains,3851,Victoria,VIC
East Sale,3852,Victoria,VIC
Glengarry (Vic.),3854,Victoria,VIC
Toongabbie (Vic.),3856,Victoria,VIC
Cowwarr,3857,Victoria,VIC
Reynard,3858,Victoria,VIC
Tinamba,3859,Victoria,VIC
Briagolong,3860,Victoria,VIC
Wongungarra,3862,Victoria,VIC
Fernbank,3864,Victoria,VIC
Lindenow,3865,Victoria,VIC
Yinnar,3869,Victoria,VIC
Boolarra South,3870,Victoria,VIC
Mirboo North,3871,Victoria,VIC
Gormandale,3873,Victoria,VIC
Woodside (Vic.),3874,Victoria,VIC
Bairnsdale,3875,Victoria,VIC
Eagle Point,3878,Victoria,VIC
Ocean Grange,3880,Victoria,VIC
Nicholson (Vic.),3882,Victoria,VIC
W Tree,3885,Victoria,VIC
Newmerella,3886,Victoria,VIC
Lake Tyers,3887,Victoria,VIC
Marlo,3888,Victoria,VIC
Bemm River,3889,Victoria,VIC
Cann River,3890,Victoria,VIC
Genoa,3891,Victoria,VIC
Mallacoota,3892,Victoria,VIC
Double Bridges,3893,Victoria,VIC
Ensay,3895,Victoria,VIC
Swifts Creek,3896,Victoria,VIC
Omeo,3898,Victoria,VIC
Benambra,3900,Victoria,VIC
Bumberrah,3902,Victoria,VIC
Swan Reach (Vic.),3903,Victoria,VIC
Metung,3904,Victoria,VIC
Kalimna,3909,Victoria,VIC
Langwarrin,3910,Victoria,VIC
Baxter,3911,Victoria,VIC
Pearcedale,3912,Victoria,VIC
Tyabb,3913,Victoria,VIC
Hastings (Vic.),3915,Victoria,VIC
Shoreham,3916,Victoria,VIC
Bittern,3918,Victoria,VIC
Crib Point,3919,Victoria,VIC
Hmas Cerberus,3920,Victoria,VIC
French Island,3921,Victoria,VIC
Surf Beach (Vic.),3922,Victoria,VIC
Rhyll,3923,Victoria,VIC
San Remo (Vic.),3925,Victoria,VIC
Balnarring,3926,Victoria,VIC
Somers,3927,Victoria,VIC
Main Ridge,3928,Victoria,VIC
Flinders (Vic.),3929,Victoria,VIC
Mount Eliza,3930,Victoria,VIC
Mornington (Vic.),3931,Victoria,VIC
Moorooduc,3933,Victoria,VIC
Mount Martha,3934,Victoria,VIC
Safety Beach (Vic.),3936,Victoria,VIC
Red Hill (Vic.),3937,Victoria,VIC
McCrae,3938,Victoria,VIC
Cape Schanck,3939,Victoria,VIC
Capel Sound,3940,Victoria,VIC
Tootgarook,3941,Victoria,VIC
Blairgowrie,3942,Victoria,VIC
Sorrento (Vic.),3943,Victoria,VIC
Portsea,3944,Victoria,VIC
Loch,3945,Victoria,VIC
Bena,3946,Victoria,VIC
Strzelecki (Vic.),3950,Victoria,VIC
Kongwak,3951,Victoria,VIC
Trida,3953,Victoria,VIC
Koonwarra,3954,Victoria,VIC
Meeniyan,3956,Victoria,VIC
Stony Creek (South Gippsland - Vic.),3957,Victoria,VIC
Buffalo,3958,Victoria,VIC
Sandy Point (Vic.),3959,Victoria,VIC
Woorarra West,3960,Victoria,VIC
Toora (Vic.),3962,Victoria,VIC
Port Franklin,3964,Victoria,VIC
Port Welshpool,3965,Victoria,VIC
Welshpool (Vic.),3966,Victoria,VIC
Hedley,3967,Victoria,VIC
Balook,3971,Victoria,VIC
Lynbrook,3975,Victoria,VIC
Hampton Park,3976,Victoria,VIC
Cranbourne East,3977,Victoria,VIC
Clyde (Vic.),3978,Victoria,VIC
Almurta,3979,Victoria,VIC
Tooradin,3980,Victoria,VIC
Koo Wee Rup,3981,Victoria,VIC
Corinella (Vic.),3984,Victoria,VIC
Nyora (Vic.),3987,Victoria,VIC
Poowong East,3988,Victoria,VIC
Glen Forbes,3990,Victoria,VIC
Bass,3991,Victoria,VIC
Dalyston,3992,Victoria,VIC
Wonthaggi,3995,Victoria,VIC
Pound Creek,3996,Victoria,VIC
Brisbane City,4000,Queensland,QLD
Teneriffe,4005,Queensland,QLD
Fortitude Valley,4006,Queensland,QLD
Ascot (Brisbane - Qld),4007,Queensland,QLD
Brisbane Airport,4008,Queensland,QLD
Eagle Farm,4009,Queensland,QLD
Albion (Brisbane - Qld),4010,Queensland,QLD
Hendra,4011,Queensland,QLD
Wavell Heights,4012,Queensland,QLD
Northgate (Qld),4013,Queensland,QLD
Banyo,4014,Queensland,QLD
Bracken Ridge,4017,Queensland,QLD
Fitzgibbon,4018,Queensland,QLD
Woody Point,4019,Queensland,QLD
Scarborough (Qld),4020,Queensland,QLD
Kippa-Ring,4021,Queensland,QLD
Rothwell,4022,Queensland,QLD
Moreton Island,4025,Queensland,QLD
Windsor (Qld),4030,Queensland,QLD
Gordon Park,4031,Queensland,QLD
Chermside West,4032,Queensland,QLD
Geebung,4034,Queensland,QLD
Albany Creek,4035,Queensland,QLD
Bald Hills (Qld),4036,Queensland,QLD
Eatons Hill,4037,Queensland,QLD
Wilston,4051,Queensland,QLD
Stafford,4053,Queensland,QLD
Keperra,4054,Queensland,QLD
Ferny Grove,4055,Queensland,QLD
Kelvin Grove,4059,Queensland,QLD
Ashgrove,4060,Queensland,QLD
The Gap (Brisbane - Qld),4061,Queensland,QLD
Paddington (Qld),4064,Queensland,QLD
Bardon,4065,Queensland,QLD
Toowong,4066,Queensland,QLD
St Lucia,4067,Queensland,QLD
Indooroopilly,4068,Queensland,QLD
Kenmore,4069,Queensland,QLD
Anstead,4070,Queensland,QLD
Sinnamon Park,4073,Queensland,QLD
Middle Park (Qld),4074,Queensland,QLD
Graceville,4075,Queensland,QLD
Wacol,4076,Queensland,QLD
